"","X.Organism.Name","Size..Mb.","GC.","Scaffolds","Genes","Release.Date","Modify.Date","Assembly.Accession","genus","strain","acc","full_ftp"
"17092","Methanococcoides methylutens MM1",2.39464,"44","1","2341","2015/04/07","2017/04/10","GCA_000970325.1","methylutens","Methanococcoides","NZ_CP009518.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/325/GCA_000970325.1_ASM97032v1/GCA_000970325.1_ASM97032v1_genomic.fasta"
"17126","Klebsiella michiganensis E718",6.56168,"55.5213","3","6475","2012/07/09","2017/02/21","GCA_000276705.2","michiganensis","Klebsiella","NC_018106.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/276/705/GCA_000276705.2_ASM27670v2/GCA_000276705.2_ASM27670v2_genomic.fasta"
"17133","Amycolatopsis lurida NRRL 2430",8.98766,"68.7","1","8294","2015/02/10","2015/03/13","GCA_000749465.2","lurida","Amycolatopsis","CP007219.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/749/465/GCA_000749465.2_ASM74946v2/GCA_000749465.2_ASM74946v2_genomic.fasta"
"17150","Caulobacter henricii",3.95729,"65.7906","2","3759","2015/10/26","2017/04/17","GCA_001414055.1","Caulobacter henricii","Caulobacter henricii","NZ_CP013002.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/414/055/GCA_001414055.1_ASM141405v1/GCA_001414055.1_ASM141405v1_genomic.fasta"
"17169","Corynebacterium imitans",2.56561,"64.3","1","2414","2017/08/15","2017/08/28","GCA_900187215.1","Corynebacterium imitans","Corynebacterium imitans","chromosome 1:NZ_LT906467.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/187/215/GCA_900187215.1_52295_D01/GCA_900187215.1_52295_D01_genomic.fasta"
"17175","Chryseobacterium piperi",4.50183,"35.3","1","3982","2017/09/05","2017/09/05","GCA_002285635.1","Chryseobacterium piperi","Chryseobacterium piperi","CP023049.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/285/635/GCA_002285635.1_ASM228563v1/GCA_002285635.1_ASM228563v1_genomic.fasta"
"17186","Alteromonas australica",4.45747,"44.9","1","3966","2015/02/25","2017/04/10","GCA_000934525.1","Alteromonas australica","Alteromonas australica","NZ_CP010912.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/934/525/GCA_000934525.1_ASM93452v1/GCA_000934525.1_ASM93452v1_genomic.fasta"
"17243","Hymenobacter sp. DG25B",4.36003,"57.5145","4","3755","2014/12/11","2017/04/10","GCA_000801315.1","sp.","Hymenobacter","NZ_CP010054.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/801/315/GCA_000801315.1_ASM80131v1/GCA_000801315.1_ASM80131v1_genomic.fasta"
"17260","Sinorhizobium americanum",6.75151,"62.2856","4","6358","2016/12/05","2017/04/16","GCA_001889105.1","Sinorhizobium americanum","Sinorhizobium americanum","NZ_CP013107.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/889/105/GCA_001889105.1_ASM188910v1/GCA_001889105.1_ASM188910v1_genomic.fasta"
"17264","Bosea sp. RAC05",5.62012,"67.6434","2","5378","2016/08/25","2017/04/13","GCA_001713455.1","sp.","Bosea","NZ_CP016464.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/713/455/GCA_001713455.1_ASM171345v1/GCA_001713455.1_ASM171345v1_genomic.fasta"
"17276","Kozakia baliensis",3.09358,"57.6407","6","2953","2016/10/19","2017/04/13","GCA_001787355.1","Kozakia baliensis","Kozakia baliensis","NZ_CP014681.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/787/355/GCA_001787355.1_ASM178735v1/GCA_001787355.1_ASM178735v1_genomic.fasta"
"17278","Mycoplasma californicum HAZ160_1",0.799088,"30.8","1","679","2014/06/13","2017/04/10","GCA_000829335.1","californicum","Mycoplasma","NZ_AP013353.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/829/335/GCA_000829335.1_ASM82933v1/GCA_000829335.1_ASM82933v1_genomic.fasta"
"17279","Edwardsiella piscicida",3.92677,"59.5908","2","3626","2016/09/16","2017/04/18","GCA_001729265.1","Edwardsiella piscicida","Edwardsiella piscicida","NZ_CP016044.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/729/265/GCA_001729265.1_ASM172926v1/GCA_001729265.1_ASM172926v1_genomic.fasta"
"17286","Devosia sp. A16",5.03299,"65.8","1","4891","2015/10/22","2017/04/11","GCA_001402915.1","sp.","Devosia","NZ_CP012945.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/402/915/GCA_001402915.1_ASM140291v1/GCA_001402915.1_ASM140291v1_genomic.fasta"
"17326","Legionella lansingensis",2.98926,"40.7","1","2737","2017/08/15","2017/08/28","GCA_900187355.1","Legionella lansingensis","Legionella lansingensis","chromosome 1:NZ_LT906451.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/187/355/GCA_900187355.1_51342_E02/GCA_900187355.1_51342_E02_genomic.fasta"
"17380","Desulfurococcus amylolyticus DSM 16532",1.38412,"44.8","1","1493","2012/06/07","2017/04/17","GCA_000231015.3","amylolyticus","Desulfurococcus","NC_018001.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/231/015/GCA_000231015.3_ASM23101v3/GCA_000231015.3_ASM23101v3_genomic.fasta"
"17391","Bacillus velezensis CAU B946",4.01986,"46.5","1","4024","2012/01/09","2017/04/10","GCA_000283695.1","velezensis","Bacillus","NC_016784.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/283/695/GCA_000283695.1_ASM28369v1/GCA_000283695.1_ASM28369v1_genomic.fasta"
"17402","Burkholderia lata",8.35484,"66.5044","3","7684","2016/09/02","2017/04/13","GCA_001718575.1","Burkholderia lata","Burkholderia lata","chromosome 1:NZ_CP013404.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/718/575/GCA_001718575.1_ASM171857v1/GCA_001718575.1_ASM171857v1_genomic.fasta"
"17405","Candidatus Pantoea carbekii",1.19695,"30.459","5","876","2015/04/13","2017/04/10","GCA_000971765.1","Pantoea","Candidatus","NZ_CP010907.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/971/765/GCA_000971765.1_ASM97176v1/GCA_000971765.1_ASM97176v1_genomic.fasta"
"17410","Candidatus Nasuia deltocephalinicola",0.112031,"16.6","1","165","2015/11/24","2017/08/21","GCA_001447885.1","Nasuia","Candidatus","NZ_CP013211.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/447/885/GCA_001447885.1_ASM144788v1/GCA_001447885.1_ASM144788v1_genomic.fasta"
"17414","Candidatus Kinetoplastibacterium crithidii TCC036E",0.82193,"31","1","789","2013/02/19","2017/04/08","GCA_000340825.1","Kinetoplastibacterium","Candidatus","NC_020283.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/340/825/GCA_000340825.1_ASM34082v1/GCA_000340825.1_ASM34082v1_genomic.fasta"
"17416","Candidatus Kinetoplastibacterium blastocrithidii TCC012E",0.820029,"32.5","1","788","2013/02/19","2017/04/08","GCA_000340925.1","Kinetoplastibacterium","Candidatus","NC_020285.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/340/925/GCA_000340925.1_ASM34092v1/GCA_000340925.1_ASM34092v1_genomic.fasta"
"17418","Chlamydia gallinacea",1.06701,"37.8572","2","965","2017/02/28","2017/03/02","GCA_002007725.1","Chlamydia gallinacea","Chlamydia gallinacea","NZ_CP019792.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/007/725/GCA_002007725.1_ASM200772v1/GCA_002007725.1_ASM200772v1_genomic.fasta"
"17425","Kosakonia sacchari",4.90211,"53.7","1","4723","2016/07/11","2017/04/13","GCA_001683395.1","Kosakonia sacchari","Kosakonia sacchari","NZ_CP016337.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/683/395/GCA_001683395.1_ASM168339v1/GCA_001683395.1_ASM168339v1_genomic.fasta"
"17426","Bifidobacterium kashiwanohense JCM 15439 = DSM 21854",2.33723,"56.3","1","2005","2015/02/17","2017/04/10","GCA_001042615.1","kashiwanohense","Bifidobacterium","chromosome Unknown:NZ_AP012327.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/042/615/GCA_001042615.1_ASM104261v1/GCA_001042615.1_ASM104261v1_genomic.fasta"
"17436","Pandoraea pnomenusa",5.38595,"64.9","1","4841","2013/12/09","2017/04/06","GCA_000504585.2","Pandoraea pnomenusa","Pandoraea pnomenusa","NC_023018.2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/504/585/GCA_000504585.2_ASM50458v2/GCA_000504585.2_ASM50458v2_genomic.fasta"
"17440","Capnocytophaga haemolytica",2.6885,"44.2","1","2381","2017/08/15","2017/08/28","GCA_900187255.1","Capnocytophaga haemolytica","Capnocytophaga haemolytica","chromosome 1:NZ_LT906449.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/187/255/GCA_900187255.1_51184_F02/GCA_900187255.1_51184_F02_genomic.fasta"
"17451","Aeropyrum camini SY1 = JCM 12091",1.59599,"56.7","1","1695","2013/09/28","2016/10/07","GCA_000591035.1","camini","Aeropyrum","AP012489.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/591/035/GCA_000591035.1_ASM59103v1/GCA_000591035.1_ASM59103v1_genomic.fasta"
"17453","Streptomyces lydicus",9.30752,"70.7","1","8318","2015/03/13","2017/04/10","GCA_000952035.2","Streptomyces lydicus","Streptomyces lydicus","NZ_CP007699.2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/952/035/GCA_000952035.2_ASM95203v2/GCA_000952035.2_ASM95203v2_genomic.fasta"
"17454","Pseudomonas mosselii",5.75109,"64.3","1","5257","2017/09/18","2017/09/18","GCA_002309555.1","Pseudomonas mosselii","Pseudomonas mosselii","CP023299.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/309/555/GCA_002309555.1_ASM230955v1/GCA_002309555.1_ASM230955v1_genomic.fasta"
"17461","Virgibacillus sp. 6R",4.74939,"37.3","1","4289","2016/12/09","2017/04/16","GCA_001895305.1","sp.","Virgibacillus","NZ_CP017762.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/895/305/GCA_001895305.1_ASM189530v1/GCA_001895305.1_ASM189530v1_genomic.fasta"
"17463","Desulfococcus multivorans",4.45598,"56.8","1","3927","2017/03/02","2017/03/11","GCA_002009335.2","Desulfococcus multivorans","Desulfococcus multivorans","NZ_CP019913.2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/009/335/GCA_002009335.2_ASM200933v2/GCA_002009335.2_ASM200933v2_genomic.fasta"
"17465","Campylobacter subantarcticus LMG 24377",1.85299,"29.8","1","1908","2015/01/07","2017/04/10","GCA_000816305.1","subantarcticus","Campylobacter","NZ_CP007773.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/816/305/GCA_000816305.1_ASM81630v1/GCA_000816305.1_ASM81630v1_genomic.fasta"
"17471","Bradyrhizobium diazoefficiens",10.4752,"63.5453","5","10249","2015/04/11","2017/04/11","GCA_001549695.1","Bradyrhizobium diazoefficiens","Bradyrhizobium diazoefficiens","chromosome Unknown:NZ_AP014685.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/549/695/GCA_001549695.1_ASM154969v1/GCA_001549695.1_ASM154969v1_genomic.fasta"
"17476","Cellulophaga baltica NN016038",4.56054,"34.7","1","3977","2014/11/19","2017/04/09","GCA_000477035.2","baltica","Cellulophaga","NZ_CP009887.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/477/035/GCA_000477035.2_ASM47703v2/GCA_000477035.2_ASM47703v2_genomic.fasta"
"17477","Spiroplasma sp. NBRC 100390",1.19962,"28.7","1","1068","2016/11/28","2017/04/14","GCA_001886495.1","sp.","Spiroplasma","NZ_CP018022.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/886/495/GCA_001886495.1_ASM188649v1/GCA_001886495.1_ASM188649v1_genomic.fasta"
"17484","Clostridium saccharobutylicum",5.10829,"28.7","1","4415","2017/02/17","2017/04/06","GCA_002003285.1","Clostridium saccharobutylicum","Clostridium saccharobutylicum","NZ_CP016086.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/003/285/GCA_002003285.1_ASM200328v1/GCA_002003285.1_ASM200328v1_genomic.fasta"
"17493","Clostridium autoethanogenum DSM 10061",4.35245,"31.1","1","4003","2016/01/04","2017/04/11","GCA_001484725.1","autoethanogenum","Clostridium","NZ_CP012395.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/484/725/GCA_001484725.1_ASM148472v1/GCA_001484725.1_ASM148472v1_genomic.fasta"
"17506","Mesoplasma chauliocola",0.85478,"27","1","769","2017/09/12","2017/09/12","GCA_002290085.1","Mesoplasma chauliocola","Mesoplasma chauliocola","CP023173.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/290/085/GCA_002290085.1_ASM229008v1/GCA_002290085.1_ASM229008v1_genomic.fasta"
"17507","Enterobacter lignolyticus",4.70295,"57.3","1","4505","2015/12/07","2017/04/17","GCA_001461805.1","Enterobacter lignolyticus","Enterobacter lignolyticus","NZ_CP012871.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/461/805/GCA_001461805.1_ASM146180v1/GCA_001461805.1_ASM146180v1_genomic.fasta"
"17517","Paenibacillus durus ATCC 35681",5.57548,"51","1","5308","2015/05/07","2017/04/10","GCA_000993825.1","durus","Paenibacillus","NZ_CP011114.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/993/825/GCA_000993825.1_ASM99382v1/GCA_000993825.1_ASM99382v1_genomic.fasta"
"17520","Serratia fonticola",6.3258,"53.7171","3","5915","2016/01/14","2017/04/04","GCA_001514455.1","Serratia fonticola","Serratia fonticola","NZ_CP013913.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/514/455/GCA_001514455.1_ASM151445v1/GCA_001514455.1_ASM151445v1_genomic.fasta"
"17521","Bordetella hinzii",4.85988,"67.1","1","4545","2015/07/16","2017/04/03","GCA_001078295.1","Bordetella hinzii","Bordetella hinzii","NZ_CP012077.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/078/295/GCA_001078295.1_ASM107829v1/GCA_001078295.1_ASM107829v1_genomic.fasta"
"17523","Azotobacter chroococcum",5.02306,"66.0979","4","4688","2017/07/17","2017/07/19","GCA_002220155.1","Azotobacter chroococcum","Azotobacter chroococcum","NZ_CP011835.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/220/155/GCA_002220155.1_ASM222015v1/GCA_002220155.1_ASM222015v1_genomic.fasta"
"17524","Dyella japonica A8",4.83118,"65","1","4157","2014/07/14","2017/04/09","GCA_000725385.1","japonica","Dyella","NZ_CP008884.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/725/385/GCA_000725385.1_ASM72538v1/GCA_000725385.1_ASM72538v1_genomic.fasta"
"17539","Bacillus cohnii",4.89914,"36.1","1","4920","2017/08/14","2017/08/16","GCA_002250055.1","Bacillus cohnii","Bacillus cohnii","NZ_CP018866.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/250/055/GCA_002250055.1_ASM225005v1/GCA_002250055.1_ASM225005v1_genomic.fasta"
"17542","Sporosarcina sp. P37",3.336,"44.6111","2","3345","2017/04/25","2017/04/27","GCA_002109365.1","sp.","Sporosarcina","NZ_CP015349.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/109/365/GCA_002109365.1_ASM210936v1/GCA_002109365.1_ASM210936v1_genomic.fasta"
"17561","Bifidobacterium thermophilum RBL67",2.29164,"60.1","1","1746","2013/03/20","2017/04/08","GCA_000347695.1","thermophilum","Bifidobacterium","NC_020546.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/347/695/GCA_000347695.1_ASM34769v1/GCA_000347695.1_ASM34769v1_genomic.fasta"
"17571","Nocardiopsis gilva YIM 90087",6.14215,"69.7","1","5396","2017/08/22","2017/08/24","GCA_002263495.1","gilva","Nocardiopsis","NZ_CP022753.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/263/495/GCA_002263495.1_ASM226349v1/GCA_002263495.1_ASM226349v1_genomic.fasta"
"17573","Mycobacterium yongonense",5.44554,"68","1","5126","2017/05/17","2017/05/24","GCA_002148175.1","Mycobacterium yongonense","Mycobacterium yongonense","NZ_CP015964.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/148/175/GCA_002148175.1_ASM214817v1/GCA_002148175.1_ASM214817v1_genomic.fasta"
"17575","Borrelia miyamotoi",0.907293,"28.7","1","845","2014/12/23","2017/04/10","GCA_000807295.1","Borrelia miyamotoi","Borrelia miyamotoi","NZ_CP010308.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/807/295/GCA_000807295.1_ASM80729v1/GCA_000807295.1_ASM80729v1_genomic.fasta"
"17587","Rathayibacter toxicus",2.32829,"61.5","1","2154","2015/02/13","2017/04/10","GCA_000875675.1","Rathayibacter toxicus","Rathayibacter toxicus","NZ_CP010848.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/875/675/GCA_000875675.1_ASM87567v1/GCA_000875675.1_ASM87567v1_genomic.fasta"
"17599","Aerococcus urinaeequi",2.01334,"39.4","1","1866","2016/02/01","2017/04/11","GCA_001543205.1","Aerococcus urinaeequi","Aerococcus urinaeequi","NZ_CP014162.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/543/205/GCA_001543205.1_ASM154320v1/GCA_001543205.1_ASM154320v1_genomic.fasta"
"17604","Sphingopyxis sp. LPB0140",2.53304,"46.1","1","2433","2016/12/05","2017/04/16","GCA_001889025.1","sp.","Sphingopyxis","NZ_CP018154.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/889/025/GCA_001889025.1_ASM188902v1/GCA_001889025.1_ASM188902v1_genomic.fasta"
"17610","Magnetospirillum sp. ME-1",4.55187,"65.6","1","4252","2017/04/24","2017/04/26","GCA_002105535.1","sp.","Magnetospirillum","NZ_CP015848.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/105/535/GCA_002105535.1_ASM210553v1/GCA_002105535.1_ASM210553v1_genomic.fasta"
"17612","Planococcus sp. L10.15",3.33007,"39.3706","3","3342","2016/07/20","2017/04/16","GCA_001186155.3","sp.","Planococcus","NZ_CP016540.2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/186/155/GCA_001186155.3_ASM118615v3/GCA_001186155.3_ASM118615v3_genomic.fasta"
"17613","Sporosarcina ureae",3.36233,"41.5","1","3306","2017/04/07","2017/04/13","GCA_002081995.1","Sporosarcina ureae","Sporosarcina ureae","NZ_CP015108.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/081/995/GCA_002081995.1_ASM208199v1/GCA_002081995.1_ASM208199v1_genomic.fasta"
"17623","Mannheimia varigena USDA-ARS-USMARC-1388",2.22829,"40.4","1","2137","2014/01/22","2017/04/09","GCA_000521685.1","varigena","Mannheimia","NZ_CP006953.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/521/685/GCA_000521685.1_ASM52168v1/GCA_000521685.1_ASM52168v1_genomic.fasta"
"17627","Streptomyces albulus ZPM",9.78458,"72.1","1","8557","2015/03/26","2017/03/14","GCA_000963515.1","albulus","Streptomyces","NZ_CP006871.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/963/515/GCA_000963515.1_ASM96351v1/GCA_000963515.1_ASM96351v1_genomic.fasta"
"17629","Lysobacter antibioticus",5.91639,"66.8","1","4848","2015/11/12","2017/04/11","GCA_001442745.1","Lysobacter antibioticus","Lysobacter antibioticus","NZ_CP011129.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/442/745/GCA_001442745.1_ASM144274v1/GCA_001442745.1_ASM144274v1_genomic.fasta"
"17650","Bifidobacterium pseudolongum",2.0081,"63.4","1","1759","2017/08/31","2017/08/31","GCA_002282915.1","Bifidobacterium pseudolongum","Bifidobacterium pseudolongum","CP022544.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/282/915/GCA_002282915.1_ASM228291v1/GCA_002282915.1_ASM228291v1_genomic.fasta"
"17651","Butyrivibrio hungatei",3.38631,"39.7046","4","3078","2016/10/31","2017/04/13","GCA_001858005.1","Butyrivibrio hungatei","Butyrivibrio hungatei","chromosome I:NZ_CP017831.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/858/005/GCA_001858005.1_ASM185800v1/GCA_001858005.1_ASM185800v1_genomic.fasta"
"17675","Curtobacterium sp. BH-2-1-1",3.79595,"71.4","1","3617","2016/10/21","2017/04/13","GCA_001806325.1","sp.","Curtobacterium","NZ_CP017580.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/806/325/GCA_001806325.1_ASM180632v1/GCA_001806325.1_ASM180632v1_genomic.fasta"
"17677","Weissella ceti",1.35585,"40.8","1","1348","2014/07/24","2017/04/09","GCA_000732905.1","Weissella ceti","Weissella ceti","NZ_CP007588.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/732/905/GCA_000732905.1_ASM73290v1/GCA_000732905.1_ASM73290v1_genomic.fasta"
"17681","Corynebacterium stationis",2.85367,"54.8","1","2655","2016/02/16","2017/04/11","GCA_001561975.1","Corynebacterium stationis","Corynebacterium stationis","NZ_CP014279.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/561/975/GCA_001561975.1_ASM156197v1/GCA_001561975.1_ASM156197v1_genomic.fasta"
"17693","Raoultella ornithinolytica",5.52204,"57.5","1","5269","2015/01/29","2017/04/03","GCA_000829965.1","Raoultella ornithinolytica","Raoultella ornithinolytica","NZ_CP010557.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/829/965/GCA_000829965.1_ASM82996v1/GCA_000829965.1_ASM82996v1_genomic.fasta"
"17694","Serratia liquefaciens",5.32666,"55.2","1","5044","2015/04/21","2017/04/10","GCA_000975245.1","Serratia liquefaciens","Serratia liquefaciens","NZ_CP011303.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/975/245/GCA_000975245.1_ASM97524v1/GCA_000975245.1_ASM97524v1_genomic.fasta"
"17698","Tepidanaerobacter acetatoxydans Re1",2.75987,"37.5","1","2681","2011/05/12","2017/04/07","GCA_000213235.1","acetatoxydans","Tepidanaerobacter","NC_015519.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/213/235/GCA_000213235.1_ASM21323v1/GCA_000213235.1_ASM21323v1_genomic.fasta"
"17703","Liberibacter crescens",1.52212,"35.4","1","1372","2016/02/01","2017/04/17","GCA_001543305.1","Liberibacter crescens","Liberibacter crescens","NZ_CP010522.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/543/305/GCA_001543305.1_ASM154330v1/GCA_001543305.1_ASM154330v1_genomic.fasta"
"17718","Desulfovibrio desulfuricans subsp. desulfuricans str. ATCC 27774",2.87344,"58.1","1","2509","2009/01/09","2017/04/06","GCA_000022125.1","desulfuricans","Desulfovibrio","NC_011883.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/125/GCA_000022125.1_ASM2212v1/GCA_000022125.1_ASM2212v1_genomic.fasta"
"17719","Candidatus Endolissoclinum faulkneri L5",1.51864,"34.5","1","862","2013/12/18","2017/04/09","GCA_000510265.1","Endolissoclinum","Candidatus","NZ_CP006745.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/510/265/GCA_000510265.1_ASM51026v1/GCA_000510265.1_ASM51026v1_genomic.fasta"
"17732","Bibersteinia trehalosi USDA-ARS-USMARC-188",2.34097,"41","1","2160","2014/01/22","2017/04/09","GCA_000521725.1","trehalosi","Bibersteinia","NZ_CP006954.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/521/725/GCA_000521725.1_ASM52172v1/GCA_000521725.1_ASM52172v1_genomic.fasta"
"17733","Cellulosimicrobium cellulans",4.79986,"74.1","1","4188","2017/05/31","2017/06/02","GCA_002162335.1","Cellulosimicrobium cellulans","Cellulosimicrobium cellulans","NZ_CP021383.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/162/335/GCA_002162335.1_ASM216233v1/GCA_002162335.1_ASM216233v1_genomic.fasta"
"17740","Citrobacter amalonaticus",5.08387,"53.1318","2","5018","2016/02/11","2017/04/04","GCA_001558935.1","Citrobacter amalonaticus","Citrobacter amalonaticus","NZ_CP014070.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/558/935/GCA_001558935.1_ASM155893v1/GCA_001558935.1_ASM155893v1_genomic.fasta"
"17741","Formosa sp. Hel1_33_131",2.73516,"36.6","1","2564","2016/09/20","2017/04/13","GCA_001735745.1","sp.","Formosa","NZ_CP017260.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/735/745/GCA_001735745.1_ASM173574v1/GCA_001735745.1_ASM173574v1_genomic.fasta"
"17742","[Clostridium] stercorarium subsp. stercorarium DSM 8532",2.97001,"42.3","1","2635","2013/04/01","2017/09/10","GCA_000349885.2","stercorarium","[Clostridium]","NC_020887.2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/349/885/GCA_000349885.2_ASM34988v2/GCA_000349885.2_ASM34988v2_genomic.fasta"
"17743","Achromobacter denitrificans",6.9292,"67.4","1","6433","2017/06/22","2017/06/24","GCA_002205315.1","Achromobacter denitrificans","Achromobacter denitrificans","NZ_CP020917.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/205/315/GCA_002205315.1_ASM220531v1/GCA_002205315.1_ASM220531v1_genomic.fasta"
"17760","Pseudomonas protegens Cab57",6.82789,"63.3","1","6248","2014/04/09","2017/04/03","GCA_000828695.1","protegens","Pseudomonas","NZ_AP014522.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/828/695/GCA_000828695.1_ASM82869v1/GCA_000828695.1_ASM82869v1_genomic.fasta"
"17765","Dokdonia sp. 4H-3-7-5",3.38999,"37.3","1","3011","2011/05/05","2017/09/03","GCA_000212355.1","sp.","Dokdonia","NC_015496.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/212/355/GCA_000212355.1_ASM21235v1/GCA_000212355.1_ASM21235v1_genomic.fasta"
"17771","Massilia sp. WG5",6.26731,"65.5319","3","5631","2015/10/26","2017/04/11","GCA_001412595.1","sp.","Massilia","NZ_CP012640.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/412/595/GCA_001412595.1_ASM141259v1/GCA_001412595.1_ASM141259v1_genomic.fasta"
"17786","Mucilaginibacter sp. BJC16-A31",5.30134,"42.2","1","4613","2017/08/16","2017/08/17","GCA_002257585.1","sp.","Mucilaginibacter","NZ_CP022743.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/257/585/GCA_002257585.1_ASM225758v1/GCA_002257585.1_ASM225758v1_genomic.fasta"
